연 번,행정동,도로명주소,지번주소,위도,경도
253,원효로1동,서울특별시 용산구 백범로79길 32 (원효로1가),서울특별시 용산구 원효로1가 17-11,37.54014623,126.9643656
254,원효로1동,서울특별시 용산구 백범로77길 61-49 (원효로1가),서울특별시 용산구 원효로1가 13-9,37.54132503,126.9662578
255,원효로1동,서울특별시 용산구 백범로79다길 41 (원효로1가),서울특별시 용산구 원효로1가 17-84,37.54150281,126.967144
256,원효로1동,서울특별시 용산구 원효로77길 53 (원효로1가),서울특별시 용산구 원효로1가 22-1,37.53984201,126.9644345
257,원효로1동,서울특별시 용산구 백범로77길 61-19 (원효로1가),서울특별시 용산구 원효로1가 13-17,37.54097313,126.966408
258,원효로1동,서울특별시 용산구 백범로79다길 21 (원효로1가),서울특별시 용산구 원효로1가 17-30,37.54148942,126.9660729
259,원효로1동,서울특별시 용산구 원효로93길 18-35 (원효로1가),서울특별시 용산구 원효로1가 5-25,37.54160502,126.9686557
260,원효로1동,서울특별시 용산구 원효로93길 13 (원효로1가),서울특별시 용산구 원효로1가 38-1,37.54071617,126.9688682
261,원효로1동,서울특별시 용산구 원효로81길 20-17 (원효로1가),서울특별시 용산구 원효로1가 29-35,37.53962051,126.9664957
262,원효로1동,서울특별시 용산구 백범로79길 8 (원효로1가),서울특별시 용산구 원효로1가 22-10,37.53928838,126.9644161
263,원효로1동,서울특별시 용산구 원효로 189-5 (원효로2가),서울특별시 용산구 원효로2가 74-1,37.53657045,126.9629947
264,원효로1동,서울특별시 용산구 원효로81길 36 (원효로1가),서울특별시 용산구 원효로1가 27-17,37.53916397,126.9661875
265,원효로1동,서울특별시 용산구 원효로81길 30-1 (원효로1가),서울특별시 용산구 원효로1가 30-24,37.53921351,126.9662692
266,원효로1동,서울특별시 용산구 백범로79나길 23 (원효로1가),서울특별시 용산구 원효로1가 13-24,37.54078874,126.9659427
267,원효로1동,서울특별시 용산구 원효로63길 20 (원효로2가),서울특별시 용산구 원효로2가 76-29,37.53745826,126.9636882
268,원효로1동,서울특별시 용산구 원효로77가길 19 (원효로1가),서울특별시 용산구 원효로1가 18-8,37.54033623,126.9655093
269,원효로1동,서울특별시 용산구 원효로 227 (원효로1가),서울특별시 용산구 원효로1가 27-4,37.53863687,126.9668067
